Center_Name,Type ,Region,Address,Phone
Unité Bilans et Evaluations Diagnostiques,D,Hauts-de-France,1 boulevard du professeur Jules Leclercq 59000 LILLE,320444486
CDAA 45 Centre de  Diagnostic et dAccompagnement précoces de lAutisme,D,Centre-Val de Loire,4 rue de la Bascule 45100 ORLEANS,238222284
Equipe Diagnostic Autisme de Proximité de la Haute-Saône,D,Bourgogne-Franche-Comté,2 rue Heymès CAMSP70 70014 VESOUL,384966067
Centre d'Evaluation et de Diagnostic de l'Autisme Drôme Ardèche CEDA,D,Auvergne-Rhône-Alpes,13/15 rue Alfred De Musset 26000 VALENCE,475856810
CEDA Ain,D,Auvergne-Rhône-Alpes,14 rue de l'Ecole 01000 BOURG EN BRESSE,474522708
ETADA Equipe Territoriale d'Appui  au Diagnostic de l'Autisme ),D,Normandie,62 route de conches 27022  EVREUX cedex,232317798
PLURADYS,D,Bourgogne-Franche-Comté,16 rue du Cap Vert 21800 QUETIGNY,380500948
PCO TND Réseau ANAIS ISÈRE 38,D,Auvergne-Rhône-Alpes,3 rue de la gare  38400 SAINT MARTIN DHERES,476251969
PCO TND OVE,D,Auvergne-Rhône-Alpes,3 montée de Cras 69700 GIVORS,487649126
"PLATEFORME DE DIAGNOSTIC ""A PETIT PAS""",D,Auvergne-Rhône-Alpes,408 rue de Remparts  69400  VILLEFRANCHE SUR SAÔNE,426476509
PCO TND Fondation ARHM,D,Auvergne-Rhône-Alpes,23 rue Saint Maximin 69003 LYON,487343810
PCO TND ADAPEI 15,D,Auvergne-Rhône-Alpes,1 rue Laparra de Fieux 15000  AURILLAC,471473013
PCO TND PEP71,D,Bourgogne-Franche-Comté,4 rue Maréchal De Lattre de Tassigny  71000   CHALON SUR SAONE,609503686
UEDE22 (unité d'évaluation diagnostique Enfants 22),D,Bretagne,22 rue Alain Colas  22950  TREGUEUX,296655929
PCO TND Nord (0/12ans) 29,D,Bretagne,11 rue Albert Le Brun 29400  LANDIVISIAU,298687400
PCO TND 35,D,Bretagne,16 rue de Jouanet  35700  RENNES,230963880
PCO TND 36,D,Centre-Val de Loire,8 rue de Vallière 36120 ARDENTES,645047783
