Center_Name,Type ,Region,Address,Phone,Street Number,Street Name,Postal Code,City
Unité Bilans et Evaluations Diagnostiques,D,Hauts-de-France,1 boulevard du professeur Jules Leclercq 59000 LILLE,320444486,1,boulevard du professeur Jules Leclercq,59000,LILLE
CDAA 45 Centre de  Diagnostic et dAccompagnement précoces de lAutisme,D,Centre-Val de Loire,4 rue de la Bascule 45100 ORLEANS,238222284,4,rue de la Bascule,45100,ORLEANS
Equipe Diagnostic Autisme de Proximité de la Haute-Saône,D,Bourgogne-Franche-Comté,2 rue Heymès CAMSP70 70014 VESOUL,384966067,2,rue Heymès CAMSP70,70014,VESOUL
Centre d'Evaluation et de Diagnostic de l'Autisme Drôme Ardèche CEDA,D,Auvergne-Rhône-Alpes,13/15 rue Alfred De Musset 26000 VALENCE,475856810,,13/15 rue Alfred De Musset,26000,VALENCE
CEDA Ain,D,Auvergne-Rhône-Alpes,14 rue de l'Ecole 01000 BOURG EN BRESSE,474522708,14,rue de l'Ecole,01000,BOURG EN BRESSE
ETADA Equipe Territoriale d'Appui  au Diagnostic de l'Autisme ),D,Normandie,62 route de conches 27022  EVREUX cedex,232317798,62,route de conches,27022,EVREUX cedex
PLURADYS,D,Bourgogne-Franche-Comté,16 rue du Cap Vert 21800 QUETIGNY,380500948,16,rue du Cap Vert,21800,QUETIGNY
PCO TND Réseau ANAIS ISÈRE 38,D,Auvergne-Rhône-Alpes,3 rue de la gare  38400 SAINT MARTIN DHERES,476251969,3,rue de la gare,38400,SAINT MARTIN DHERES
PCO TND OVE,D,Auvergne-Rhône-Alpes,3 montée de Cras 69700 GIVORS,487649126,3,montée de Cras,69700,GIVORS
"PLATEFORME DE DIAGNOSTIC ""A PETIT PAS""",D,Auvergne-Rhône-Alpes,408 rue de Remparts  69400  VILLEFRANCHE SUR SAÔNE,426476509,408,rue de Remparts,69400,VILLEFRANCHE SUR SAÔNE
PCO TND Fondation ARHM,D,Auvergne-Rhône-Alpes,23 rue Saint Maximin 69003 LYON,487343810,23,rue Saint Maximin,69003,LYON
PCO TND ADAPEI 15,D,Auvergne-Rhône-Alpes,1 rue Laparra de Fieux 15000  AURILLAC,471473013,1,rue Laparra de Fieux,15000,AURILLAC
PCO TND PEP71,D,Bourgogne-Franche-Comté,4 rue Maréchal De Lattre de Tassigny  71000   CHALON SUR SAONE,609503686,4,rue Maréchal De Lattre de Tassigny,71000,CHALON SUR SAONE
UEDE22 (unité d'évaluation diagnostique Enfants 22),D,Bretagne,22 rue Alain Colas  22950  TREGUEUX,296655929,22,rue Alain Colas,22950,TREGUEUX
PCO TND Nord (0/12ans) 29,D,Bretagne,11 rue Albert Le Brun 29400  LANDIVISIAU,298687400,11,rue Albert Le Brun,29400,LANDIVISIAU
PCO TND 35,D,Bretagne,16 rue de Jouanet  35700  RENNES,230963880,16,rue de Jouanet,35700,RENNES
PCO TND 36,D,Centre-Val de Loire,8 rue de Vallière 36120 ARDENTES,645047783,8,rue de Vallière,36120,ARDENTES
PLATEFORME DÉPARTEMENTALE DE DÉPISTAGE PRÉCOCE DE LAUTISME PEP 18,D,Centre-Val de Loire,Parc Comitec  18000  BOURGES,248232777,,Parc Comitec,18000,BOURGES
LA MAISON POUR LES PERSONNES AUTISTES DU DÉPARTEMENT D'EURE ET LOIR (M.D.P.A.),D,Centre-Val de Loire,34 rue du Dr Maunoury  28000  CHARTRES,237303855,34,rue du Dr Maunoury,28000,CHARTRES
Centre Universitaire de Pédopsychiatrie  DADA37,D,Centre-Val de Loire,Centre Universitaire de Pédopsychiatrie - CHRU de TOURS  37044  TOURS,247476094,,Centre Universitaire de Pédopsychiatrie - CHRU de TOURS,37044,TOURS
PCO TND 33 Centre Hospitalier Charles Perrens,D,Nouvelle-Aquitaine,121 Rue de la Béchade 33076 BORDEAUX,556563544,121,Rue de la Béchade,33076,BORDEAUX
PCO TND FONDATION BON SAUVEUR D'ALBY 81,D,Occitanie,7 rue de Lavazière  81025  ALBI,563485540,7,rue de Lavazière,81025,ALBI
PCO TND CH Narbonne 11,D,Occitanie,Boulevard Dr Lacroix 11108  11108 NARBONNE,468426000,,Boulevard Dr Lacroix,11108,11108 NARBONNE
RECOLTE,D,Nouvelle-Aquitaine,10 allée du Champ Dinard 86440  MIGNE-AUXANCES,549596986,10,allée du Champ Dinard,86440,MIGNE-AUXANCES
PCO TND 0-12 ans Var  UGECAM,D,Provence-Alpes-Côte d'azur,Avenue Gilles de Gennes 83160  LA VALETTE DU VAR,483420899,,Avenue Gilles de Gennes,83160,LA VALETTE DU VAR
PCO TND OSCAR 44,D,Pays-de-la-Loire,58 ter et quater boulevard Victor Hugo 44200 NANTES,253526310,58,ter et quater boulevard Victor Hugo,44200,NANTES
PCO TND CHU AMIENS PICARDIE 80,D,Hauts-de-France,Place Victor Pauchet 80054  AMIENS,322087698,,Place Victor Pauchet,80054,AMIENS
CAMPS ARSEA Équipe de Diagnostic et dIntervention Précoce Autisme EDIPA 68,D,Grand Est,140 rue de Logelbach   68 000  COLMAR,389304086,,140 rue de Logelbach   68 000  COLMAR,,
C.A.M.S.P. Pierre Burgun AAPEI (EDIPA) Equipe de Diagnostic et d'Intervention Précoce Autisme,D,Grand Est,33 rue du Barrage 67300  SCHILTIGHEIM,388810371,33,rue du Barrage,67300,SCHILTIGHEIM
(EDIPA) Equipe de Diagnostic et d'Intervention Précoce de l'Autisme NORD ALSACE 67,D,Grand Est,63 route de Marienthal 67500  HAGUENAU,388054855,63,route de Marienthal,67500,HAGUENAU
PCO TND PEP2B CORSE,D,Corse,Lieu-dit Distindinu Moriani-Plage 20230 SAN NICOLAO,495387855,,Lieu-dit Distindinu Moriani-Plage,20230,SAN NICOLAO
PCO TND 0/12 ans - FONDATION PERE FAVRON REUNION,D,DROM - PTOM (97-98),3 rue Marius et Ary Leblond  97899 SAINT LOUIS,262701102,3,rue Marius et Ary Leblond,97899,SAINT LOUIS
CELLULE DE DIAGNOSTIC ADAPEI 973 GUYANE,D,DROM - PTOM (97-98),BP 727 rue Sadecky Cité Grant  97336  CAYENNE,594294377,,BP 727 rue Sadecky Cité Grant,97336,CAYENNE
