Name,Location,Email,Phone,Address,Assessments,Opening Hours
Aberdeen,Grounded Learning,enquiries@theautismservice.co.uk,,"Suite M1, Woodburn House, 4/5 Golden Square, Aberdeen, AB10 1RD","Adult Autism Assessment, Child Autism Assessment",Monday: 09:00 - 17:00; Tuesday: 09:00 - 17:00; Wednesday: 09:00 - 17:00; Thursday: 09:00 - 17:00; Friday: 09:00 - 17:00; Saturday: Closed; Sunday: Closed
Aberystwyth,The Hub,enquiries@theautismservice.co.uk,+44 0300 303 0667,"Penparcau Community Forum, Penparcau, Aberystwyth, Ceredigion, SY23 1RU","Adult Autism Assessment, Child Autism Assessment, Child ADHD Assessment, Child Autism & ADHD Combined Assessment, Adult ADHD Assessment, Adult Autism & ADHD Combined Assessment",Monday: 09:00 - 17:00; Tuesday: 09:00 - 17:00; Wednesday: 09:00 - 17:00; Thursday: 09:00 - 17:00; Friday: 09:00 - 17:00; Saturday: 09:00 - 12:00; Sunday: Closed
Bangor,LEAF Health,enquiries@theautismservice.co.uk,+44 0300 303 0667,"Canolfan Brailsford, Friddoedd Road, Bangor University, Bangor, LL57 2JS","Adult ADHD Assessment, Adult Autism Assessment, Child Autism & ADHD Combined Assessment, Child Autism Assessment, Adult Autism & ADHD Combined Assessment, Child ADHD Assessment",Monday: 14:00 - 19:00; Tuesday: 14:00 - 18:00; Wednesday: 09:00 - 13:30; Thursday: 09:00 - 18:00; Friday: 10:00 - 13:00; Saturday: Closed; Sunday: Closed
Belfast,Complete Wellness Therapies,enquiries@theautismservice.co.uk,+44 0300 303 0667,"37 Bridge Street, Lisburn, BT28 1XZ","Adult Autism Assessment, Child Autism Assessment",Monday: 09:30 - 21:00; Tuesday: 09:30 - 21:00; Wednesday: 09:30 - 21:00; Thursday: 09:30 - 21:00; Friday: 09:30 - 21:00; Saturday: 09:30 - 16:00; Sunday: Closed
Bath,The Practice Rooms,enquiries@theautismservice.co.uk,+44 0300 303 0667,"26 Upper Borough Walls, Bath, BA1 1RH","Adult ADHD Assessment, Adult Autism Assessment, Child Autism & ADHD Combined Assessment, Child Autism Assessment, Adult Autism & ADHD Combined Assessment, Child ADHD Assessment",Monday: 09:00 - 21:00; Tuesday: 09:00 - 21:00; Wednesday: 09:00 - 21:00; Thursday: 09:00 - 21:00; Friday: 09:00 - 21:00; Saturday: 09:00 - 21:00; Sunday: 09:00 - 21:00
Birmingham,Quinton Natural Therapies,enquiries@theautismservice.co.uk,+44 0300 303 0667,"454 Hagley Road West, Quinton, Oldbury, B68 0DL","Adult ADHD Assessment, Adult Autism & ADHD Combined Assessment, Adult Autism Assessment, Child Autism Assessment, Child Autism & ADHD Combined Assessment, Child ADHD Assessment",Monday: 07:00 - 23:00; Tuesday: 07:00 - 23:00; Wednesday: 07:00 - 23:00; Thursday: 07:00 - 23:00; Friday: 07:00 - 23:00; Saturday: 07:00 - 23:00; Sunday: 07:00 - 23:00
Bradford,Victoria Therapy Centre,enquiries@theautismservice.co.uk,+44 0300 303 0667,"22 Victoria Road, Saltaire, Bradford BD18 3LQ","Adult ADHD Assessment, Child Autism Assessment, Adult Autism Assessment, Adult Autism & ADHD Combined Assessment, Child ADHD Assessment, Child Autism & ADHD Combined Assessment",Monday: 09:00 - 21:00; Tuesday: 09:00 - 21:00; Wednesday: 09:00 - 21:00; Thursday: 09:00 - 21:00; Friday: 09:00 - 21:00; Saturday: 09:00 - 21:00; Sunday: Closed
Bristol,The Practice Rooms,enquiries@theautismservice.co.uk,+44 0300 303 0667,"39 Cotham Hill, Bristol, BS6 6JY","Child Autism Assessment, Adult Autism Assessment",Monday: 08:00 - 21:00; Tuesday: 08:00 - 21:00; Wednesday: 08:00 - 21:00; Thursday: 08:00 - 21:00; Friday: 08:00 - 21:00; Saturday: 08:00 - 21:00; Sunday: 08:00 - 21:00
Bristol North (Iron Acton),The Old Rectory Clinic,enquiries@theautismservice.co.uk,+44 0300 303 0667,"High Street, Iron Acton, Bristol, BS37 9UQ","Child Autism Assessment, Child ADHD Assessment, Child Autism & ADHD Combined Assessment, Adult Autism Assessment, Adult ADHD Assessment, Adult Autism & ADHD Combined Assessment",Monday: 09:00 - 20:00; Tuesday: 09:00 - 20:00; Wednesday: 09:00 - 20:00; Thursday: 09:00 - 20:00; Friday: 09:00 - 20:00; Saturday: Closed; Sunday: Closed
Cardiff,Cathedral Road Clinic,enquiries@theautismservice.co.uk,+44 0300 303 0667,"242 Cathedral Road, Pontcanna, Cardiff, CF11 9JG","Adult ADHD Assessment, Adult Autism Assessment, Child Autism & ADHD Combined Assessment, Child Autism Assessment, Adult Autism & ADHD Combined Assessment, Child ADHD Assessment",Monday: 08:00 - 18:00; Tuesday: 08:00 - 18:00; Wednesday: 08:00 - 18:00; Thursday: 08:00 - 18:00; Friday: 08:00 - 18:00; Saturday: 09:00 - 13:00; Sunday: Closed
