Name,Location,Phone,StreetNumber,StreetName,City,County,Postcode
Aberdeen,Grounded Learning,,,"Suite M1, Woodburn House",4/5 Golden Square,Aberdeen,AB10 1RD
Aberystwyth,The Hub,+44 0300 303 0667,,"Penparcau Community Forum, Penparcau",Aberystwyth,Ceredigion,SY23 1RU
Bangor,LEAF Health,+44 0300 303 0667,,"Canolfan Brailsford, Friddoedd Road",Bangor University,Bangor,LL57 2JS
Belfast,Complete Wellness Therapies,+44 0300 303 0667,37,Bridge Street,37 Bridge Street,Lisburn,BT28 1XZ
Bath,The Practice Rooms,+44 0300 303 0667,26,Upper Borough Walls,26 Upper Borough Walls,Bath,BA1 1RH
Birmingham,Quinton Natural Therapies,+44 0300 303 0667,454,Hagley Road West,Quinton,Oldbury,B68 0DL
Bradford,Victoria Therapy Centre,+44 0300 303 0667,22,Victoria Road,22 Victoria Road,Saltaire,BRADFORD BD18 3LQ
Bristol,The Practice Rooms,+44 0300 303 0667,39,Cotham Hill,39 Cotham Hill,Bristol,BS6 6JY
Bristol North (Iron Acton),The Old Rectory Clinic,+44 0300 303 0667,,High Street,Iron Acton,Bristol,BS37 9UQ
Cardiff,Cathedral Road Clinic,+44 0300 303 0667,242,Cathedral Road,Pontcanna,Cardiff,CF11 9JG
Carmarthen,Space to Breathe,+44 0300 303 0667,,"Building 2, Rear Entrance",Parc Dewi Sant,Carmarthen,SA31 3HB
Chelmsford,Chelmsford Counselling & Therapy Centre,+44 0300 303 0667,14,Wells Street,Chelmsford,Essex,CM1 1HZ
Chester,Beehive Healthcare,+44 0300 303 0667,,,,Northgate Avenue,CHESTER CH2 2DX
Coventry,Number Three,+44 0300 303 0667,,Siskin Drive,Siskin Drive,Coventry,CV3 4FJ
Croydon,Collaborative One,+44 0300 303 0667,360,Brighton Road,360 Brighton Road,South Croydon,CR2 6AL
Derby,Revive Healthy Living Centre,+44 0300 303 0667,23,Roe Farm Lane,Chaddesden,Derby,DE21 6ET
Durham,Northern Integrative Health Practice,+44 0300 303 0667,,The Pinnacle,The Pinnacle,Durham Road,DURHAM DH7 6FE
Edinburgh,Grounded Learning,+44 0300 303 0667,6,Dock Place,6 Dock Place,Edinburgh,EH6 6LU
Essex,Wellbeing Clinic,+44 0300 303 0667,,,,,132 NORTH STATION ROAD COLCHESTER CO1 1UZ
Exeter,The Margaret Jackson Centre,+44 0300 303 0667,4,Barnfield Hill,4 Barnfield Hill,Exeter,EX1 1SR
Forest of Dean,Forest of Dean Clinic,+44 0300 303 0667,,"Office 25, Floor Four, Building Eight",BizSpace Vantage Point,Mitcheldean,GL17 0DD
Glasgow,The Consulting Rooms,+44 0300 303 0667,34,West George Street,34 West George Street,Glasgow,G2 1DA
Halifax,The Hebden Therapy Centre,+44 0300 303 0667,36,Market Street,36 Market Street,Hebden Bridge,HX7 6AA
Harrogate,Krysallis,+44 0300 303 0667,5,Victoria Avenue,5 Victoria Avenue,Harrogate,HG1 1EQ
Haverfordwest,The Ark,+44 0300 303 0667,5,Bridge Street,5 Bridge Street,Haverfordwest,SA61 2AL
Hull,The Ellesmere Centre,+44 0300 303 0667,267,Beverley Road,267 Beverley Road,Hull,HU5 2ST
Kent,The Northgate Clinic,+44 0300 303 0667,62,Northgate,Canterbury,Kent,CT1 1BB
Leeds,The Practice Rooms,+44 0300 303 0667,45A,Park Square East,45A Park Square East,Leeds,LS1 2NP
Leicester,Holmfield Consulting Rooms,+44 0300 303 0667,,"No 1 Holmfield Court, Holmfield Road",Stoneygate,Leicester,LE2 1SD
Lewisham,Lee Health Centre,+44 0300 303 0667,2,Handen Road,2 Handen Road,London,SE12 8NP
Liverpool,Aigburth Counselling and Psychotherapy,+44 0300 303 0667,325,Aigburth Road,Aigburth,Liverpool,L17 0BL
Llanelli,Elements Health & Wellness,+44 0300 303 0667,57,New Road,57 New Road,Llanelli,SA15 3DP
London,Library Rooms,+44 0300 303 0667,4,Manchester Square,Marylebone,London,W1U 3PD
Maidstone,Southcote Proactive Healthcare,+44 0300 303 0667,42,Buckland Hill,Maidstone,Kent,ME16 0SA
Manchester,Sanctuary Therapy Centre,+44 0300 303 0667,171,Bury New Road,171 Bury New Road,Prestwich,MANCHESTER M25 9ND
Milton Keynes,Magic Words Therapy,+44 0300 303 0667,1,Bassett Court,1 Bassett Court,Newport Pagnell,MILTON KEYNES MK16 0JN
Newcastle,Hypoint,+44 0300 303 0667,,Saltmeadows Road,Saltmeadows Road,Gateshead,NE8 3AH
Nottingham,Sage Therapy Centre,+44 0300 303 0667,635,Western Boulevard,635 Western Boulevard,Nottingham,NG8 5GS
Oxford,Raleigh Park Clinic,+44 0300 303 0667,,,,,45 RALEIGH PARK ROAD BOTLEY OXFORD OX2 9AR
Plymouth,Modbury Therapy Centre,+44 0300 303 0667,35,Church Street,Modbury,Plymouth,PL21 0QR
Porthmadog,Cambrian Psychology Clinic,+44 0300 303 0667,117a,High Street,117a High Street,Porthmadog,LL49 9HA
Rhyl,RCS: Wellbeing For Work,+44 0300 303 0667,,69-71 Wellington Road,69-71 Wellington Road,Rhyl,LL18 1BE
Sheffield,Taylored Psychology Clinic,+44 0300 303 0667,,Therapy Works Sheffield,362 Sharrow Lane,Sheffield,S11 8AU
Shrewsbury,The Autism Service,+44 0300 303 0667,,Charlesworth Court,Battlefield,Shrewsbury,SY1 3AB
Stoke,Basford Consulting Rooms,+44 0300 303 0667,540,"Etruria Road, Basford",Newcastle-under-Lyme,Staffordshire,ST5 0SX
Suffolk,Langham Clinic,+44 0300 303 0667,,"Unit 2, Langham Grange, Stock Hill",Langham,Bury St. Edmunds,IP31 3EE
Surrey,The Therapy Rooms at Cobham,+44 0300 303 0667,,"Ivy House, 40 Anyards Road",Cobham,Surrey,KT11 2LA
Sussex,With You in Mind Counselling,+44 0300 303 0667,7A,Churchill Court,7A Churchill Court,Rustington,SUSSEX BN16 3DA
Swindon,Counselling Wiltshire,+44 0300 303 0667,28,Newport Street,28 Newport Street,Swindon,SN1 3DX
Telford,D4Drivers,+44 0300 303 0667,,Technology House,Hadley Park East,Hadley,TELFORD TF1 6QJ
Wolverhampton,Mind Body Lab Clinic,+44 0300 303 0667,,Kings Road,Calf Heath,Wolverhampton,WV10 7DU
Wrexham,Back to Health,+44 0300 303 0667,21,Grosvenor Road,21 Grosvenor Road,Wrexham,LL11 1BT
York,Market Weighton Business Centre,+44 0300 303 0667,,Becklands Park Industrial Estate,York Road,Market Weighton,YO43 3GL
